,Date,TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y,Latitude,Longitude
368376,2012-12-01,Other Theft,2012,12,25,13.0,27.0,72XX KNIGHT ST,Victoria Fraserview,494393.18,5451727.98,49.21831358,-123.0769932
65113,2004-10-01,Theft of Vehicle,2004,10,15,20.0,0.0,31XX W 15TH AVE,Kitsilano,487320.71,5456230.79,49.2587117,-123.1742548
484506,2016-10-01,Other Theft,2016,10,12,15.0,20.0,32XX CAMBIE ST,South Cambie,491620.01,5455934.71,49.25612241,-123.1151624
191649,2007-10-01,Break and Enter Residential/Other,2007,10,24,12.0,0.0,6XX STAMPS LAND,Fairview,491400.53,5457344.49,49.2688006,-123.1182089
50754,2004-12-01,Other Theft,2004,12,6,14.0,22.0,10XX HOMER ST,Central Business District,491256.07,5458279.37,49.27720796,-123.120215
260453,2009-08-01,Theft of Bicycle,2009,8,30,15.0,0.0,9XX PACIFIC BLVD,Central Business District,491664.43,5457958.34,49.27432594,-123.1145941
349587,2011-04-01,Theft from Vehicle,2011,4,29,11.0,0.0,12XX FRANCES ST,Strathcona,494245.85,5458524.66,49.27944984,-123.0791139
204337,2007-06-01,Other Theft,2007,6,16,16.0,15.0,15XX COMMERCIAL DR,Grandview Woodland,494939.27,5457603.23,49.27116754,-123.0695684
315420,2010-06-01,Mischief,2010,6,29,11.0,36.0,29XX E 29TH AVE,Renfrew Collingwood,496862.54,5454639.38,49.24451998,-123.0431066
2519,2003-05-01,Vehicle Collision or Pedestrian Struck (with Injury),2003,5,25,19.0,28.0,14XX BLOCK KINGSWAY AVE,Kensington Cedar Cottage,494548.0,5455178.0,49.24934875,-123.0749141
402686,2013-04-01,Theft of Vehicle,2013,4,16,13.0,0.0,22XX E 7TH AVE,Grandview Woodland,495680.21,5456826.74,49.26418855,-123.0593746
86911,2004-09-01,Theft from Vehicle,2004,9,22,22.0,0.0,22XX NAPIER ST,Grandview Woodland,495652.33,5457998.48,49.27472837,-123.0597705
73845,2004-04-01,Mischief,2004,4,28,3.0,40.0,X W CORDOVA ST,Central Business District,492396.2,5458859.61,49.28244255,-123.1045511
377370,2012-01-01,Other Theft,2012,1,7,14.0,15.0,7XX W GEORGIA ST,Central Business District,491407.74,5458871.84,49.28253947,-123.1181426
221830,2007-03-01,Theft from Vehicle,2007,3,25,0.0,0.0,9XX HOWE ST,Central Business District,491092.6,5458690.38,49.2809027,-123.1224716
166191,2006-11-01,Theft from Vehicle,2006,11,13,17.0,0.0,20XX CORNWALL AVE,Kitsilano,488948.78,5457759.91,49.27249798,-123.1519221
219961,2007-05-01,Mischief,2007,5,20,19.0,0.0,10XX ROBSON ST,West End,490939.24,5459089.44,49.28449005,-123.1245893
27614,2003-09-01,Mischief,2003,9,10,19.0,0.0,13XX ROBSON ST,West End,490594.28,5459433.76,49.28758204,-123.1293407
418633,2014-03-01,Vehicle Collision or Pedestrian Struck (with Injury),2014,3,14,16.0,26.0,JOYCE ST / EUCLID AVE,Renfrew Collingwood,497554.0,5453738.0,49.23641501,-123.0336009
486398,2016-02-01,Other Theft,2016,2,25,12.0,55.0,9XX TERMINAL AVE,Strathcona,493906.5,5457452.47,49.26980201,-123.0837633
243866,2008-01-01,Theft from Vehicle,2008,1,26,0.0,30.0,GRANVILLE ST / PACIFIC ST,Central Business District,490577.46,5458038.33,49.27502968,-123.1295391
383528,2013-12-01,Mischief,2013,12,1,12.0,0.0,15XX E PENDER ST,Grandview Woodland,494618.44,5458626.0,49.2803648,-123.0739926
208547,2007-12-01,Theft of Vehicle,2007,12,26,16.0,0.0,12XX E 13TH AVE,Mount Pleasant,494255.94,5456218.62,49.25870667,-123.0789421
223991,2008-04-01,Theft from Vehicle,2008,4,23,19.0,0.0,32XX RENFREW ST,Renfrew Collingwood,496784.37,5455806.41,49.25501727,-123.0441899
155753,2006-12-01,Theft from Vehicle,2006,12,22,20.0,0.0,14XX W 15TH AVE,Fairview,489949.46,5456150.39,49.25803733,-123.1381253
68937,2004-12-01,Mischief,2004,12,18,1.0,56.0,E 4TH AVE / NANAIMO ST,Grandview Woodland,495883.15,5457109.01,49.26672902,-123.0565881
217310,2007-04-01,Mischief,2007,4,10,4.0,33.0,5XX E 6TH AVE,Mount Pleasant,493313.7,5456952.22,49.26529597,-123.0919038
421742,2014-12-01,Break and Enter Commercial,2014,12,19,14.0,7.0,1XX E 8TH AVE,Mount Pleasant,492558.94,5456782.64,49.26376185,-123.1022749
63979,2004-04-01,Break and Enter Residential/Other,2004,4,17,13.0,10.0,2XX E 62ND AVE,Sunset,492702.64,5451291.3,49.21436772,-123.1001998
456447,2015-06-01,Other Theft,2015,6,15,18.0,27.0,28XX E HASTINGS ST,Hastings Sunrise,496773.81,5458707.64,49.28111434,-123.0443584
33375,2003-09-01,Theft from Vehicle,2003,9,13,20.0,30.0,47XX MANOR ST,Renfrew Collingwood,497180.37,5454426.3,49.24260482,-123.0387383
315243,2010-06-01,Mischief,2010,6,21,23.0,0.0,27XX W 41ST AVE,Kerrisdale,487884.42,5453558.82,49.23468825,-123.1664268
426442,2014-08-01,Theft of Bicycle,2014,8,2,17.0,0.0,19XX PENDRELL ST,West End,489615.31,5459633.53,49.28936315,-123.142808
424262,2014-10-01,Mischief,2014,10,25,14.0,30.0,11XX E HASTINGS ST,Strathcona,494141.12,5458690.14,49.28093736,-123.0805563
190135,2007-09-01,Mischief,2007,9,7,1.0,30.0,6XX SMITHE ST,Central Business District,491189.44,5458599.72,49.2800886,-123.1211381
88008,2004-07-01,Theft from Vehicle,2004,7,21,19.0,0.0,25XX E 27TH AVE,Renfrew Collingwood,496059.38,5454829.17,49.24622254,-123.0541433
280334,2009-07-01,Break and Enter Residential/Other,2009,7,18,23.0,30.0,10XX SLOCAN ST,Hastings Sunrise,496404.28,5458092.47,49.27557872,-123.0494338
111954,2005-02-01,Theft from Vehicle,2005,2,18,17.0,0.0,53XX FLEMING ST,Kensington Cedar Cottage,494697.48,5453763.37,49.23662514,-123.0728414
259147,2008-08-01,Other Theft,2008,8,21,21.0,52.0,23XX CAMBIE ST,Mount Pleasant,491656.43,5456901.49,49.26481928,-123.114682
501204,2016-01-01,Theft from Vehicle,2016,1,27,18.0,0.0,6XX CITADEL PRDE,Central Business District,491993.78,5458519.96,49.27938221,-123.1100775
441678,2015-11-01,Theft of Bicycle,2015,11,14,18.0,0.0,5XX NELSON ST,Central Business District,491159.6,5458406.38,49.27834904,-123.1215441
462511,2015-08-01,Other Theft,2015,8,29,14.0,5.0,3XX ABBOTT ST,Central Business District,492213.87,5458862.65,49.2824676,-123.1070582
468051,2015-05-01,Other Theft,2015,5,23,12.0,38.0,15XX COMMERCIAL DR,Grandview Woodland,494939.27,5457603.23,49.27116754,-123.0695684
352668,2012-11-01,Break and Enter Residential/Other,2012,11,16,11.0,52.0,20XX W 63RD AVE,Kerrisdale,488869.73,5451260.47,49.21403276,-123.1528283
164893,2006-05-01,Other Theft,2006,5,6,15.0,18.0,10XX MAINLAND ST,Central Business District,491302.11,5458175.61,49.27627527,-123.1195798
279196,2009-02-01,Break and Enter Residential/Other,2009,2,28,18.0,0.0,11XX W 14TH AVE,Fairview,490584.22,5456234.36,49.25880276,-123.1294038
444436,2015-06-01,Mischief,2015,6,21,22.0,55.0,31XX W 6TH AVE,Kitsilano,487307.83,5457117.9,49.26669114,-123.1744599
413521,2014-03-01,Mischief,2014,3,12,0.0,0.0,CHURCH ST / STAMFORD ST,Renfrew Collingwood,497698.59,5453391.62,49.2332998,-123.0316126
423580,2014-03-01,Break and Enter Commercial,2014,3,17,4.0,0.0,10XX E CORDOVA ST,Strathcona,494025.64,5458795.81,49.28188676,-123.0821456
35651,2003-07-01,Mischief,2003,7,30,22.0,0.0,29XX NANAIMO ST,Renfrew Collingwood,495883.91,5456082.12,49.25749195,-123.0565671
52951,2004-12-01,Theft from Vehicle,2004,12,21,17.0,0.0,8XX KINGSWAY AVE,Kensington Cedar Cottage,493712.22,5455825.19,49.25516234,-123.0864084
133454,2005-04-01,Theft from Vehicle,2005,4,4,9.0,25.0,55XX BALSAM ST,Arbutus Ridge,488262.36,5453693.41,49.23590627,-123.1612392
506101,2016-11-01,Theft from Vehicle,2016,11,18,17.0,0.0,53XX VINE ST,Arbutus Ridge,488371.31,5453909.23,49.2378497,-123.1597488
6730,2003-08-01,Theft of Vehicle,2003,8,19,21.0,0.0,5XX W 14TH AVE,Fairview,491628.18,5456221.0,49.25869776,-123.1150561
423944,2014-04-01,Theft from Vehicle,2014,4,8,8.0,50.0,16XX BAYSHORE DR,Central Business District,490452.94,5459912.83,49.29188915,-123.1312958
232602,2008-05-01,Theft from Vehicle,2008,5,11,19.0,30.0,14XX ROBSON ST,West End,490542.75,5459472.14,49.28792648,-123.1300502
182298,2006-05-01,Vehicle Collision or Pedestrian Struck (with Injury),2006,5,23,23.0,45.0,13XX BLOCK SE MARINE DR,Sunset,494131.0,5450921.0,49.21105212,-123.0805816
317001,2010-09-01,Theft from Vehicle,2010,9,9,18.0,0.0,28XX ALBERTA ST,Mount Pleasant,491924.37,5456371.49,49.26005543,-123.1109885
259562,2009-10-01,Theft of Bicycle,2009,10,12,14.0,0.0,6XX SEYMOUR ST,Central Business District,491578.8,5458898.39,49.28278067,-123.1157911
255220,2008-12-01,Vehicle Collision or Pedestrian Struck (with Injury),2008,12,5,10.0,56.0,3XX BLOCK POWELL ST,Strathcona,492922.0,5458937.0,49.28314501,-123.0973228
26678,2003-08-01,Theft from Vehicle,2003,8,22,22.0,0.0,7XX DRAKE ST,Central Business District,490701.45,5458155.77,49.27608797,-123.1278373
260122,2009-02-01,Other Theft,2009,2,14,13.0,1.0,7XX GRANVILLE ST,Central Business District,491394.12,5458844.26,49.28229119,-123.1183292
484205,2016-11-01,Theft from Vehicle,2016,11,29,18.0,0.0,14XX W GEORGIA ST,West End,490668.19,5459592.96,49.2890152,-123.1283281
276307,2009-03-01,Break and Enter Residential/Other,2009,3,2,17.0,0.0,5XX W 16TH AVE,Fairview,491465.67,5456030.04,49.25697779,-123.1172854
384306,2013-12-01,Mischief,2013,12,30,12.0,2.0,15XX MAIN ST,Mount Pleasant,492697.83,5457658.41,49.27164124,-123.1003818
172202,2006-11-01,Theft from Vehicle,2006,11,22,22.0,0.0,36XX VANNESS AVE,Renfrew Collingwood,498061.94,5453668.64,49.23579292,-123.0266229
464366,2015-03-01,Theft from Vehicle,2015,3,27,20.0,30.0,SLOCAN ST / VENABLES ST,Hastings Sunrise,496410.2,5458209.93,49.27663533,-123.0493534
408109,2014-04-01,Other Theft,2014,4,14,16.0,59.0,28XX E 1ST AVE,Hastings Sunrise,496594.71,5457399.72,49.26934839,-123.0468098
444615,2015-10-01,Theft from Vehicle,2015,10,27,10.0,21.0,6XX ABBOTT ST,Central Business District,492175.59,5458454.53,49.27879601,-123.1075766
234871,2008-01-01,Break and Enter Residential/Other,2008,1,30,13.0,19.0,12XX LAMEYS MILL RD,Fairview,490392.02,5457112.66,49.26670024,-123.1320663
503527,2016-10-01,Theft from Vehicle,2016,10,29,10.0,0.0,17XX E 2ND AVE,Grandview Woodland,494960.82,5457324.06,49.26865653,-123.0692687
137806,2005-04-01,Vehicle Collision or Pedestrian Struck (with Fatality),2005,4,7,15.0,53.0,SEYMOUR ST / SMITHE ST,Central Business District,491242.0,5458550.0,49.27964212,-123.1204144
317415,2010-04-01,Vehicle Collision or Pedestrian Struck (with Injury),2010,4,15,8.0,0.0,BURRARD ST / W 1ST AVE,Fairview,489417.0,5457555.0,49.27066306,-123.1454801
488410,2016-12-01,Theft from Vehicle,2016,12,11,0.0,15.0,15XX W 8TH AVE,Fairview,489769.18,5456868.69,49.26449558,-123.1406213
196704,2007-01-01,Theft from Vehicle,2007,1,9,17.0,26.0,5XX SEYMOUR ST,Central Business District,491656.09,5458976.39,49.28348335,-123.11473
140178,2005-07-01,Theft from Vehicle,2005,7,26,8.0,0.0,20XX KINGSWAY AVE,Kensington Cedar Cottage,495333.82,5454661.45,49.24470876,-123.0641104
244743,2008-08-01,Mischief,2008,8,7,0.0,0.0,22XX GRANT ST,Grandview Woodland,495647.89,5457603.01,49.27117102,-123.0598272
428433,2014-03-01,Other Theft,2014,3,29,12.0,50.0,21XX W 41ST AVE,Arbutus Ridge,488583.75,5453552.54,49.2346452,-123.1568203
100380,2005-05-01,Theft from Vehicle,2005,5,21,19.0,0.0,17XX E 29TH AVE,Kensington Cedar Cottage,494979.88,5454576.57,49.24394244,-123.0689722
379017,2013-05-01,Break and Enter Commercial,2013,5,23,22.0,0.0,34XX KINGSWAY AVE,Renfrew Collingwood,497714.19,5453257.11,49.2320899,-123.0313976
329539,2011-07-01,Theft from Vehicle,2011,7,15,7.0,0.0,33XX NAPIER ST,Hastings Sunrise,497650.81,5458028.48,49.27500918,-123.0322962
529439,2017-07-01,Theft from Vehicle,2017,7,2,0.0,0.0,10XX W 29TH AVE,Shaughnessy,490596.18,5454749.59,49.24544714,-123.1292045
266272,2009-02-01,Break and Enter Residential/Other,2009,2,22,15.0,50.0,23XX PRINCE ALBERT ST,Mount Pleasant,493654.44,5456763.68,49.26360365,-123.0872173
475751,2016-08-01,Break and Enter Residential/Other,2016,8,13,15.0,20.0,20XX E GEORGIA ST,Grandview Woodland,495418.65,5458402.59,49.27836171,-123.0629877
429537,2014-12-01,Theft from Vehicle,2014,12,31,22.0,0.0,25XX W 3RD AVE,Kitsilano,488076.83,5457398.05,49.26922661,-123.1638981
530253,2017-06-01,Theft from Vehicle,2017,6,4,20.0,0.0,12XX E 19TH AVE,Kensington Cedar Cottage,494191.95,5455641.55,49.2535152,-123.0798132
252025,2008-01-01,Theft from Vehicle,2008,1,16,21.0,40.0,20XX E 50TH AVE,Victoria Fraserview,495220.7,5452359.14,49.22399805,-123.0656371
37579,2003-06-01,Break and Enter Residential/Other,2003,6,19,18.0,55.0,45XX W 2ND AVE,West Point Grey,484769.34,5457648.18,49.27140312,-123.2093727
380277,2013-02-01,Mischief,2013,2,8,20.0,44.0,4XX E 53RD AVE,Sunset,492931.06,5452118.92,49.22181506,-123.0970779
72292,2004-12-01,Mischief,2004,12,22,13.0,0.0,13XX E 63RD AVE,Sunset,494191.5,5451119.06,49.2128343,-123.0797538
336952,2011-04-01,Mischief,2011,4,8,0.0,0.0,3XX E BROADWAY AVE,Mount Pleasant,492987.64,5456670.2,49.2627555,-123.0963806
40481,2003-12-01,Theft from Vehicle,2003,12,28,21.0,0.0,22XX E 41ST AVE,Victoria Fraserview,495548.9,5453338.08,49.23280634,-123.0611406
35287,2003-01-01,Mischief,2003,1,10,11.0,13.0,29XX E 54TH AVE,Killarney,496874.26,5451929.15,49.22014085,-123.0429244
440051,2014-10-01,Other Theft,2014,10,24,13.0,43.0,3XX SE MARINE DR,Sunset,492774.27,5450882.58,49.21069203,-123.0992089
226078,2008-08-01,Other Theft,2008,8,16,16.0,1.0,17XX E 10TH AVE,Kensington Cedar Cottage,494934.45,5456512.48,49.261356,-123.0696209
71478,2004-02-01,Break and Enter Commercial,2004,2,12,7.0,59.0,5XX BEATTY ST,Central Business District,492012.92,5458617.55,49.2802603,-123.1098163
354897,2012-04-01,Break and Enter Residential/Other,2012,4,16,7.0,40.0,50XX GLADSTONE ST,Kensington Cedar Cottage,495484.26,5453945.63,49.23827092,-123.0620354
414861,2014-04-01,Vehicle Collision or Pedestrian Struck (with Injury),2014,4,27,3.0,8.0,THURLOW ST / W GEORGIA ST,West End,491045.0,5459226.0,49.28571998,-123.1231381
453355,2015-02-01,Theft from Vehicle,2015,2,9,22.0,0.0,7XX PACIFIC BLVD,Central Business District,492005.87,5458173.62,49.27626698,-123.1099044
497743,2016-08-01,Vehicle Collision or Pedestrian Struck (with Injury),2016,8,12,18.0,41.0,BEATTY ST / W PENDER ST,Central Business District,492111.0,5458724.0,49.28121911,-123.1084699
20099,2003-10-01,Theft from Vehicle,2003,10,24,23.0,0.0,RICHARDS ST / W PENDER ST,Central Business District,491791.75,5458968.75,49.28341647,-123.1128645
393786,2013-10-01,Theft from Vehicle,2013,10,13,14.0,0.0,SEYMOUR ST / SMITHE ST,Central Business District,491242.02,5458550.53,49.27964688,-123.1204141
189580,2007-09-01,Break and Enter Residential/Other,2007,9,17,11.0,0.0,45XX W 14TH AVE,West Point Grey,484736.11,5456408.65,49.26025255,-123.2097822
497296,2016-09-01,Theft of Bicycle,2016,9,6,18.0,28.0,CAMBIE ST / W 7TH AVE,Fairview,491643.11,5456918.37,49.26497094,-123.1148654
69514,2004-12-01,Theft of Vehicle,2004,12,7,19.0,0.0,8XX W BROADWAY AVE,Fairview,490973.83,5456736.42,49.26332475,-123.1240606
159461,2006-07-01,Mischief,2006,7,16,1.0,15.0,5XX RICHARDS ST,Central Business District,491746.54,5458929.79,49.28306541,-123.1134853
216947,2007-05-01,Theft of Vehicle,2007,5,10,23.0,0.0,9XX POWELL ST,Strathcona,493947.92,5458880.8,49.2826505,-123.0832156
269480,2009-09-01,Other Theft,2009,9,20,11.0,4.0,9XX TERMINAL AVE,Strathcona,493906.5,5457452.47,49.26980201,-123.0837633
274063,2009-02-01,Theft from Vehicle,2009,2,28,23.0,0.0,27XX CHANDLERY PL,Killarney,496320.34,5450449.75,49.20683015,-123.0505176
252639,2008-04-01,Mischief,2008,4,23,17.0,0.0,11XX SEYMOUR ST,Central Business District,490993.61,5458307.0,49.27745268,-123.1238241
503681,2016-12-01,Theft from Vehicle,2016,12,19,8.0,50.0,GRANVILLE ST / W CORDOVA ST,Central Business District,491792.73,5459252.2,49.28596616,-123.1128568
256970,2008-07-01,Break and Enter Residential/Other,2008,7,15,19.0,20.0,40XX W 32ND AVE,Dunbar Southlands,485859.32,5454531.99,49.24339867,-123.194279
129667,2005-02-01,Theft from Vehicle,2005,2,16,18.0,0.0,5X GORE AVE,Strathcona,492878.15,5459063.54,49.28428274,-123.097928
28227,2003-09-01,Break and Enter Residential/Other,2003,9,13,6.0,0.0,34XX W BROADWAY AVE,Kitsilano,486876.67,5456846.17,49.26423778,-123.1803775
56454,2004-03-01,Theft from Vehicle,2004,3,21,22.0,30.0,TERMINAL AVE / THORNTON ST,Strathcona,493207.63,5457654.28,49.27160996,-123.0933736
204135,2007-06-01,Other Theft,2007,6,9,20.0,18.0,11XX W BROADWAY AVE,Fairview,490488.61,5456749.18,49.26343218,-123.13073
70427,2004-08-01,Mischief,2004,8,21,18.0,0.0,13XX MAIN ST,Central Business District,492714.39,5457808.24,49.27298918,-123.1001569
443120,2015-03-01,Mischief,2015,3,27,5.0,0.0,3XX DUNSMUIR ST,Central Business District,491796.39,5458737.81,49.28133919,-123.1127959
339570,2011-12-01,Mischief,2011,12,23,1.0,9.0,2X E 2ND AVE,Mount Pleasant,492425.2,5457400.96,49.26932211,-123.1041248
189054,2007-06-01,Break and Enter Residential/Other,2007,6,5,11.0,0.0,3XX JACKSON AVE,Strathcona,493210.63,5458756.55,49.2815251,-123.0933511
110713,2005-03-01,Theft of Vehicle,2005,3,8,2.0,35.0,11XX E 19TH AVE,Kensington Cedar Cottage,494055.59,5455645.08,49.25354565,-123.081687
41099,2003-03-01,Theft from Vehicle,2003,3,5,23.0,30.0,20XX TRIUMPH ST,Grandview Woodland,495425.25,5459025.34,49.2839635,-123.0629041
179400,2006-09-01,Theft of Vehicle,2006,9,4,15.0,0.0,5XX CARRALL ST,Central Business District,492412.92,5458640.89,49.28047534,-123.1043171
242628,2008-03-01,Theft of Bicycle,2008,3,6,13.0,15.0,5X E HASTINGS ST,Central Business District,492488.77,5458750.55,49.28146269,-123.1032763
215921,2007-04-01,Mischief,2007,4,2,2.0,15.0,5XX BURRARD ST,Central Business District,491323.75,5459224.84,49.28571357,-123.1193051
229514,2008-10-01,Mischief,2008,10,20,0.0,0.0,14XX WOODLAND DR,Grandview Woodland,494651.88,5457694.15,49.27198294,-123.0735203
91488,2004-10-01,Theft from Vehicle,2004,10,21,18.0,30.0,34XX KNIGHT ST,Kensington Cedar Cottage,494477.09,5455734.98,49.25435827,-123.0758961
67092,2004-06-01,Mischief,2004,6,5,1.0,9.0,25XX ALMA ST,Kitsilano,486480.93,5456856.82,49.26432496,-123.1858172
399798,2013-05-01,Theft of Bicycle,2013,5,23,18.0,26.0,6X W KING EDWARD AVE,Riley Park,492241.12,5455118.98,49.24879295,-123.1066109
57374,2004-06-01,Other Theft,2004,6,7,21.0,27.0,12XX RICHARDS ST,Central Business District,490957.26,5458122.15,49.27578939,-123.1243196
40570,2003-01-01,Break and Enter Residential/Other,2003,1,4,2.0,0.0,12XX WAVERLEY AVE,Sunset,494144.59,5452696.51,49.22702343,-123.0804209
296517,2010-01-01,Theft from Vehicle,2010,1,13,19.0,0.0,10XX E 56TH AVE,Sunset,493843.16,5451813.08,49.2190738,-123.0845474
390188,2013-02-01,Break and Enter Commercial,2013,2,24,22.0,0.0,14XX E KENT N AVE,Victoria Fraserview,494393.5,5450731.36,49.20934872,-123.0769748
428470,2014-08-01,Theft from Vehicle,2014,8,12,17.0,0.0,1XX KEEFER PL,Central Business District,492122.64,5458572.11,49.27985298,-123.1083069
282811,2009-11-01,Theft from Vehicle,2009,11,12,10.0,32.0,21XX STANLEY PARK DR,Stanley Park,491437.32,5460818.97,49.30005459,-123.1177775
271958,2009-01-01,Theft from Vehicle,2009,1,18,12.0,0.0,28XX ST CATHERINES ST,Mount Pleasant,493784.47,5456248.89,49.25897435,-123.0854221
94536,2004-08-01,Theft from Vehicle,2004,8,26,13.0,7.0,4XX BURRARD ST,Central Business District,491494.41,5459380.27,49.28711409,-123.1169617
248427,2008-01-01,Theft of Vehicle,2008,1,27,20.0,0.0,28XX E 22ND AVE,Renfrew Collingwood,496636.78,5455328.53,49.25071784,-123.0462141
70533,2004-09-01,Vehicle Collision or Pedestrian Struck (with Injury),2004,9,19,7.0,37.0,8XX BLOCK W PENDER ST,Central Business District,491521.0,5459193.0,49.28542993,-123.1165921
158109,2006-09-01,Mischief,2006,9,4,18.0,0.0,40XX PRINCE ALBERT ST,Kensington Cedar Cottage,493616.7,5455155.95,49.2491414,-123.0877104
435283,2014-09-01,Theft of Vehicle,2014,9,29,10.0,0.0,21XX W 44TH AVE,Kerrisdale,488655.57,5453235.23,49.23179226,-123.1558247
477811,2016-03-01,Theft from Vehicle,2016,3,16,8.0,30.0,CAMBIE ST / ROBSON ST,Central Business District,491638.28,5458390.14,49.2782097,-123.1149626
102297,2005-10-01,Theft from Vehicle,2005,10,31,18.0,30.0,3XX E 40TH AVE,Riley Park,492844.51,5453530.23,49.23450914,-123.0982917
470467,2015-10-01,Theft from Vehicle,2015,10,21,22.0,0.0,13XX PENDRELL ST,West End,490212.55,5459039.86,49.28403286,-123.1345803
153384,2006-06-01,Theft from Vehicle,2006,6,7,18.0,0.0,3XX POWELL ST,Strathcona,492902.06,5458933.54,49.28311365,-123.097597
132811,2005-04-01,Other Theft,2005,4,21,14.0,0.0,31XX GRANDVIEW HWY,Renfrew Collingwood,497308.77,5456155.92,49.25816372,-123.0369859
98036,2004-07-01,Theft from Vehicle,2004,7,20,22.0,0.0,63XX ASH ST,Oakridge,491410.9,5452845.53,49.22833167,-123.1179698
10625,2003-11-01,Theft of Vehicle,2003,11,6,18.0,0.0,29XX E 26TH AVE,Renfrew Collingwood,496873.16,5454918.25,49.24702854,-123.0429628
137338,2005-09-01,Theft from Vehicle,2005,9,4,1.0,30.0,12XX W BROADWAY AVE,Fairview,490433.55,5456750.68,49.26344481,-123.1314868
317919,2010-11-01,Other Theft,2010,11,8,13.0,7.0,6XX GRANVILLE ST,Central Business District,491445.91,5458896.41,49.28276102,-123.1176182
426243,2014-12-01,Theft from Vehicle,2014,12,11,0.0,0.0,10XX BARCLAY ST,West End,490810.23,5458911.14,49.28288429,-123.1263591
519271,2017-06-01,Theft from Vehicle,2017,6,25,12.0,0.0,16XX BARCLAY ST,West End,490199.5,5459505.36,49.28821989,-123.1347712
243580,2008-09-01,Mischief,2008,9,3,13.0,0.0,49XX MCGEER ST,Renfrew Collingwood,497645.62,5454180.97,49.24039999,-123.0323449
452666,2015-12-01,Theft from Vehicle,2015,12,12,18.0,23.0,7XX GRANVILLE ST,Central Business District,491295.24,5458744.77,49.28139486,-123.1196866
86933,2004-08-01,Mischief,2004,8,18,0.0,1.0,49XX DUCHESS ST,Renfrew Collingwood,496196.71,5454090.48,49.23957872,-123.0522494
530242,2017-06-01,Theft from Vehicle,2017,6,25,14.0,0.0,8XX RICHARDS ST,Central Business District,491426.82,5458594.91,49.28004871,-123.1178743
9732,2003-03-01,Theft of Vehicle,2003,3,26,5.0,0.0,33XX E 6TH AVE,Hastings Sunrise,497552.84,5456878.18,49.26466162,-123.033636
272315,2009-12-01,Mischief,2009,12,21,17.0,29.0,27XX CHEYENNE AVE,Renfrew Collingwood,496455.89,5454303.2,49.24149375,-123.0486907
36224,2003-12-01,Mischief,2003,12,17,23.0,0.0,2X SE MARINE DR,Sunset,492339.98,5451022.67,49.2119469,-123.1051743
442778,2015-12-01,Theft of Vehicle,2015,12,16,18.0,0.0,18XX E 2ND AVE,Grandview Woodland,495094.62,5457322.27,49.26864152,-123.0674294
391224,2013-01-01,Other Theft,2013,1,12,13.0,44.0,27XX E 12TH AVE,Renfrew Collingwood,496447.8,5456225.09,49.25878152,-123.0488189
513657,2017-04-01,Break and Enter Residential/Other,2017,4,22,3.0,0.0,38XX DUNBAR ST,Dunbar Southlands,486529.25,5455571.02,49.25276004,-123.1851098
61612,2004-11-01,Mischief,2004,11,1,0.0,0.0,20XX E 25TH AVE,Kensington Cedar Cottage,495272.64,5455078.71,49.24846164,-123.0649559
467761,2015-11-01,Other Theft,2015,11,23,12.0,8.0,15XX COMMERCIAL DR,Grandview Woodland,494939.27,5457603.23,49.27116754,-123.0695684
97931,2004-09-01,Theft from Vehicle,2004,9,11,0.0,0.0,61XX HIGHBURY ST,Kerrisdale,486293.39,5453173.69,49.23119037,-123.1882689
405503,2013-05-01,Theft of Bicycle,2013,5,19,15.0,30.0,14XX CARTWRIGHT ST,Fairview,490145.24,5457518.04,49.27034277,-123.1354684
516453,2017-06-01,Theft of Bicycle,2017,6,12,10.0,0.0,13XX BURRARD ST,Central Business District,490409.46,5458288.51,49.27727748,-123.1318548
58015,2004-12-01,Mischief,2004,12,3,17.0,0.0,19XX YORK AVE,Kitsilano,489236.35,5457652.1,49.27153334,-123.147966
382050,2013-02-01,Mischief,2013,2,9,2.0,30.0,7XX E HASTINGS ST,Strathcona,493522.54,5458719.04,49.28119108,-123.0890619
260343,2009-06-01,Theft from Vehicle,2009,6,7,16.0,0.0,43XX PRINCE ALBERT ST,Kensington Cedar Cottage,493613.95,5454760.2,49.24558151,-123.0877419
141836,2005-02-01,Other Theft,2005,2,16,14.0,27.0,23XX GRANVILLE ST,Fairview,489919.02,5456958.02,49.26530161,-123.138564
464211,2015-02-01,Theft from Vehicle,2015,2,26,12.0,23.0,X NK_LOC ST,Fairview,492757.49,5458792.47,49.28184301,-123.0995822
478759,2016-07-01,Theft from Vehicle,2016,7,11,11.0,34.0,COLUMBIA ST / KEEFER ST,Central Business District,492569.99,5458508.48,49.27928622,-123.102155
144910,2006-06-01,Other Theft,2006,6,27,18.0,29.0,31XX KINGSWAY AVE,Renfrew Collingwood,497194.21,5453620.89,49.23536003,-123.0385425
520349,2017-04-01,Other Theft,2017,4,17,6.0,45.0,1XX WATER ST,Central Business District,492175.41,5459048.55,49.28413931,-123.1075907
180203,2006-10-01,Theft from Vehicle,2006,10,29,14.0,0.0,33XX E BROADWAY AVE,Hastings Sunrise,497604.0,5456575.74,49.26194132,-123.032931
